Interaction index,Player index,Opponent index,Repetition,Player name,Opponent name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
94,10,8,0,Stephan: 0.5,Karim - Ressurection: 0.5,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
95,8,11,0,Karim - Ressurection: 0.5,Dan - Strategy: 0.5,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
95,11,8,0,Dan - Strategy: 0.5,Karim - Ressurection: 0.5,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
96,8,12,0,Karim - Ressurection: 0.5,Cardassian General: 0.5,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
96,12,8,0,Cardassian General: 0.5,Karim - Ressurection: 0.5,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
97,8,13,0,Karim - Ressurection: 0.5,Cardassian General: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
97,13,8,0,Cardassian General: 0.5,Karim - Ressurection: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
98,8,14,0,Karim - Ressurection: 0.5,Alessandro - Random: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
98,14,8,0,Alessandro - Random: 0.5,Karim - Ressurection: 0.5,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
99,9,9,0,David - Kobayashi Maru: 0.5,David - Kobayashi Maru: 0.5,DDDCDDDCDD,-26,0,10,-2.6,0.0,0,False,2,2,0,0,8,0,2,0,0,0,0,2,5,1
99,9,9,0,David - Kobayashi Maru: 0.5,David - Kobayashi Maru: 0.5,DDDCDDDCDD,-26,0,10,-2.6,0.0,0,False,2,2,0,0,8,0,2,0,0,0,0,2,5,1
